CO(GT),NO2(GT),PT08.S2(NMHC),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO Class
1.2,49,545,1131,436,14.6,36,0.5947,1
1.6,50,684,1279,688,14.4,38.5,0.6291,1
1.2,67,1168,1926,1438,13.8,58.2,0.9129,1
1.1,94,1295,1957,1489,13.2,61.1,0.9256,1
0.9,119,924,1576,1093,10.4,74.4,0.9384,0
0.7,139,837,1498,965,11.5,71,0.9582,0
0.9,113,886,1579,1004,12.2,70,0.9924,0
1.7,88,1025,1772,1166,12.3,73.3,1.0442,1
4.2,73,944,1638,991,11.3,78.1,1.0411,2
6.2,73,1023,1748,1054,13.6,69.2,1.0746,2
4.6,72,1100,1799,1192,14.9,59.3,0.9974,2
2.8,81,980,1637,1055,15.7,50.9,0.8997,2
1.6,93,1026,1681,1048,15.2,52.9,0.9087,1
1.7,106,1041,1712,1073,15.5,50.8,0.8881,1
1.7,132,1033,1669,1068,14.3,52.9,0.8581,1
1.7,164,953,1588,1019,13.2,56,0.8446,1
1.9,161,787,1418,833,12.6,57,0.8315,1
2.3,124,769,1409,759,12.3,57.8,0.8224,2
3.3,113,754,1395,749,12,58.4,0.8164,2
4.2,103,825,1477,978,12,61.6,0.8593,2
5.5,104,770,1425,944,11.5,63.9,0.8652,2
4.9,93,716,1405,891,10.7,67.2,0.863,2
2.5,60,713,1422,849,9,73.1,0.8394,2
2,52,615,1322,790,10.2,66.6,0.8299,1
2,66,648,1340,852,11,63.7,0.8325,1
2,82,876,1561,987,9.6,68.8,0.8243,1
1.3,109,1291,1949,1435,9.5,69.6,0.8273,1
1,114,1595,2439,1798,11.9,60.9,0.8455,0
0.9,139,1323,2001,1677,16.2,48.6,0.8892,0
0.7,127,1040,1701,1282,19.2,39.6,0.8693,0
1.1,127,850,1489,871,19.7,38.4,0.8743,1
2.6,135,875,1524,759,20.6,36.7,0.8797,2
3.9,130,924,1542,790,21.8,33.9,0.8771,2
5,126,-200,-200,-200,-200,-200,-200,2
3.3,121,-200,-200,-200,-200,-200,-200,2
2.9,122,-200,-200,-200,-200,-200,-200,2
3.1,138,1193,1193,1187,23.6,27.5,0.7913,2
3,165,1331,2028,1399,22.8,32.1,0.8814,2
2.7,154,1429,2089,1644,20.8,36.7,0.8878,2
2.7,168,1302,1922,1599,18.3,40.9,0.8493,2
2.6,146,1007,1604,1223,16.8,44,0.8341,2
3.7,124,976,1570,1200,15.8,48,0.8569,2
4.5,124,920,1529,1118,14.9,52,0.8757,2
4.7,106,899,1514,1067,14.1,54.4,0.8701,2
5.5,88,795,1442,1048,13.3,58.8,0.8922,2
3,83,667,1350,718,13.3,60.9,0.9229,2
1.9,74,673,1381,797,11.8,64.3,0.8869,1
2.3,64,638,1342,749,11.2,65.9,0.8775,2
1.6,69,628,1372,737,11.3,72.9,0.9738,1
1.3,91,727,1448,903,11.4,71.8,0.9671,1
1.2,96,1083,1833,1159,11.9,73.7,1.0254,1
0.9,106,1306,2060,1365,12.6,70.2,1.0221,0
0.8,124,1316,2054,1510,13.6,65.3,1.0136,0
0.8,121,1177,1898,1386,16.9,52.3,1.0013,0
0.9,114,1123,1821,1368,19.4,44.1,0.9855,0
2,114,1176,1825,1347,22.9,33.8,0.9322,1
3,106,1183,1773,1242,23.6,31.3,0.9001,2
3.1,89,1139,1761,1138,24.7,30.5,0.9371,2
3.1,82,1116,1703,1080,26.1,27.3,0.9101,2
3,111,1103,1632,1002,27.6,22.8,0.8288,2
3.2,132,1288,1799,1212,26.9,22.3,0.7792,2
3.1,121,1385,1915,1486,24.3,30.1,0.9012,2
2.5,116,1407,2052,1567,21.2,40.1,0.9978,2
2.1,100,1439,2083,1723,19.4,42.5,0.9483,2
2,89,1121,1685,1399,18.5,43,0.9074,1
3.2,92,982,1582,1291,17.8,47,0.9467,2
4.1,71,1052,1684,1443,16.8,53.2,1.01,2
3.9,51,941,1566,1270,17.1,51.8,0.999,2
3.1,39,827,1488,1110,16.2,54.2,0.9933,2
2,35,777,1455,1060,15.1,58.2,0.9886,1
1.7,64,697,1410,965,15.1,57.6,0.9796,1
1.6,94,651,1380,891,14.5,58,0.9488,1
1,134,673,1387,905,13.7,61.6,0.9631,0
0.8,129,683,1398,899,13.9,59.6,0.9408,0
0.5,125,959,1660,1136,13.3,61.7,0.9399,0
0.5,107,1154,1872,1391,15.1,55.8,0.9486,0
0.5,78,1126,1816,1460,17,50.5,0.9684,0
0.8,91,1023,1720,1410,19.7,43.3,0.9837,0
1.7,116,1030,1743,1372,20.7,41.7,1.0092,1
4.5,131,1096,1779,1266,23.3,35.8,1.0098,2
6.2,113,1000,1621,1014,23.8,30.5,0.8897,2
4.4,98,1006,1573,870,24.8,27,0.8325,2
2.9,116,1046,1635,905,25,27.5,0.8575,2
1.6,120,1102,1704,991,25.8,26.5,0.8675,1
2.6,126,1156,1722,1076,25.1,27.1,0.8496,2
2.9,126,1213,1798,1249,23.7,28.6,0.8273,2
2.5,90,1471,2153,1548,22.1,36.8,0.9681,2
1.9,81,1124,1823,1300,19.9,47.5,1.0912,1
1.9,74,918,1602,1029,18.7,50.4,1.0772,1
2.7,67,1128,1870,1207,18.1,51.3,1.0587,2
3,46,952,1644,1047,17.5,53.8,1.0648,2
3.3,30,892,1580,923,16.7,56.5,1.0634,2
3.2,19,843,1551,862,15.9,59.2,1.0635,2
1.8,32,782,1500,752,15.2,62.4,1.0726,1
1.3,61,793,1521,791,14.7,65,1.0766,1
1.1,111,682,1448,697,14.3,65.3,1.0594,1
0.9,102,650,1434,664,13.7,66.5,1.0393,0
0.7,116,731,1488,891,12.9,69.1,1.0264,0
0.4,96,684,1423,813,13.7,64.8,1.0135,0
0.3,97,720,1461,828,15.3,59,1.0181,0
0.3,110,900,1634,1057,18.1,49.8,1.0272,0
0.3,103,939,1658,1011,21.5,40.7,1.0301,0
0.8,79,902,1589,932,23.3,37.1,1.0457,0
2.8,104,924,1603,881,25.1,33.8,1.0594,2
3.1,69,860,1531,646,25.6,32.1,1.0393,2
2.3,96,792,1476,536,25.8,31.1,1.0143,2
1.6,121,977,1642,746,26.1,30.8,1.0253,1
1.5,129,996,1678,833,24.4,36,1.085,1
1.6,116,983,1626,802,23,36.2,1.0053,1
1.8,71,977,1636,838,22.1,39.3,1.0336,1
1.4,85,1085,1756,1051,19.8,44.6,1.0208,1
1.9,101,997,1673,1041,18.5,48.9,1.0323,1
1.2,97,772,1493,646,16.6,56.1,1.0481,1
2.3,89,853,1556,769,15.8,58.8,1.0464,2
3.3,72,829,1540,785,15.3,60.8,1.0501,2
3.1,57,750,1470,613,14.7,64.4,1.0717,2
3.3,62,611,1330,430,14.8,63.3,1.0584,2
1.2,64,600,1375,485,15,61.5,1.0418,1
1.3,80,505,1294,467,15.5,56.9,0.9961,1
1.9,118,489,1278,436,16,54,0.9742,1
1.4,130,658,1417,682,13.5,63.9,0.9809,1
1.5,113,822,1541,927,12.9,65.3,0.9688,1
1.1,112,1089,1795,1192,13.4,62.5,0.9582,1
0.8,96,1449,2299,1615,14.5,58.8,0.963,0
0.8,125,1247,1972,1505,15.3,56.7,0.9773,0
1.1,128,1127,1836,1451,15.6,57.4,1.0075,1
2.6,101,1107,1853,1409,16.6,55.2,1.0382,2
5.1,95,1171,1942,1434,17,54.3,1.0434,2
4.2,138,1162,1915,1457,18,51.5,1.0552,2
2.6,154,1069,1793,1325,19.5,47.5,1.0653,2
2.4,171,971,1705,1120,21.6,41.7,1.0606,2
2.1,136,963,1662,931,22.2,38.3,1.0106,2
2.6,93,1190,1877,1212,20.3,42.8,1.0053,2
2.8,99,1290,2011,1353,19.7,45.4,1.0312,2
2.5,106,1239,1957,1359,18.8,47.5,1.0199,2
1.9,109,1102,1796,1273,17.9,49.4,1.0064,1
3.6,97,928,1622,1079,17.5,50.9,1.009,2
4.6,83,885,1589,973,17.4,51.8,1.023,2
6.3,79,869,1554,951,17,53.9,1.0363,2
4.3,84,718,1428,714,16.6,55.4,1.0408,2
1.6,86,635,1382,579,15.9,57,1.0224,1
1.4,111,547,1336,542,15,59.2,1.0059,1
2,117,579,1370,562,14.5,61.4,1.0041,1
2.4,122,569,1360,526,14.1,61.6,0.9883,2
1.8,119,677,1435,659,14.6,58.8,0.9711,1
1,121,920,1641,1012,14.4,58.9,0.9594,0
1,127,1407,2198,1564,15.3,55.2,0.9538,0
1,135,1636,2560,1806,16.2,52.5,0.9576,0
0.9,119,1350,2096,1604,18.4,46.3,0.9734,0
1.5,137,1119,1823,1288,19.6,41.8,0.9407,1
2.6,139,884,1580,931,20.2,40.1,0.937,2
2.9,117,1132,1818,1162,20.9,36.6,0.8939,2
2.7,127,1103,1704,1064,20.4,34.7,0.8229,2
2.4,137,1032,1630,913,19.3,35.4,0.7813,2
2.6,127,947,1519,684,18.6,36.9,0.7829,2
4.1,107,988,1590,710,18.8,36.8,0.7883,2
4.3,102,1116,1716,923,17.5,40.6,0.8068,2
2.2,95,1148,1776,1006,16.8,44.3,0.8428,2
3.4,79,1150,1784,1083,16.3,47.7,0.8746,2
3.6,78,1142,1807,1161,15.6,50.7,0.8947,2
2.5,75,918,1527,800,15.7,49.4,0.8768,2
2.8,52,808,1458,647,15.8,48.6,0.8653,2
3.4,55,752,1393,649,15.7,47,0.8325,2
3,65,710,1352,575,15.7,45.9,0.8121,2
2.1,72,603,1271,455,15.6,44.9,0.792,2
2.4,76,538,1214,392,15.6,44.4,0.7827,2
2.3,84,464,1154,340,16.1,42.4,0.7718,2
1.3,90,468,1166,320,15.7,45.4,0.8063,1
1.7,89,478,1200,331,15.3,50.1,0.8617,1
1.7,87,688,1398,426,14.2,58.6,0.9443,1
1,88,1082,1769,830,14.3,58.2,0.9431,0
0.8,81,1171,1821,1006,15,52,0.8817,0
1,89,925,1576,820,13.6,61.4,0.9519,0
1.4,91,876,1554,737,16.1,53.1,0.9675,1
1.7,104,839,1448,790,16.6,44.3,0.8294,1
2,111,892,1474,760,17.4,40.3,0.7922,1
2,129,943,1604,767,18.1,42.2,0.8679,1
1.9,133,817,1426,626,14.4,51.8,0.8433,1
2.1,115,880,1552,776,10.9,76.4,0.9953,2
1.8,125,808,1421,589,16.4,47.7,0.8819,1
1.5,117,1073,1623,872,18,37.1,0.7598,1
1.3,84,1101,1700,996,14.7,48.7,0.8089,1
1.4,63,1133,1748,1033,11.3,71.3,0.9514,1
1.5,68,1013,1632,982,10,74,0.9087,1
1.7,52,666,1282,518,9.8,71.8,0.8702,1
2,49,727,1391,631,9.3,75.2,0.8796,1
2.5,49,861,1510,879,9.6,76,0.9088,2
2.4,52,752,1398,839,9.3,75,0.8799,2
2,58,798,1455,876,9,76.7,0.8825,1
2.9,51,716,1383,827,8.2,79.6,0.8672,2
2.5,77,672,1338,781,7.6,80.6,0.8437,2
1.4,90,568,1263,699,8.3,75.6,0.8302,1
1.2,118,642,1288,723,8.1,72.1,0.7798,1
1,70,754,1384,797,8.1,70.4,0.7609,0
1,35,1109,1723,1138,8.1,70.5,0.7627,0
0.7,46,1482,2189,1605,9.9,64.3,0.7859,0
0.8,58,1271,1885,1569,13,54.2,0.809,0
0.9,61,1041,1620,1319,16.5,42.6,0.7912,0
1.1,80,1075,1678,1198,19.3,34.2,0.7566,1
1,93,1026,1541,958,21.5,27.4,0.6941,0
1.6,78,1123,1609,1068,20.4,26.7,0.6323,1
1.8,76,1114,1551,1010,20.6,22.6,0.5432,1
2.6,74,1089,1552,928,20.6,24.8,0.5931,2
1.1,81,1004,1454,816,21,25.4,0.6264,1
0.6,58,1287,1798,1216,21.5,24.5,0.6203,0
0.9,59,1404,1972,1463,19.3,28.6,0.6357,0
1,54,1530,2167,1791,18,32.9,0.6737,0
1.2,25,1172,1699,1425,15.8,39.8,0.7096,1
1.4,26,857,1410,922,15.3,41.5,0.7194,1
2,49,824,1411,971,14.1,46,0.7363,1
1.1,53,-200,-200,-200,-200,-200,-200,1
1.1,57,-200,-200,-200,-200,-200,-200,1
1.1,73,-200,-200,-200,-200,-200,-200,1
1.1,78,-200,-200,-200,-200,-200,-200,1
0.7,93,-200,-200,-200,-200,-200,-200,0
0.6,71,-200,-200,-200,-200,-200,-200,0
0.7,56,-200,-200,-200,-200,-200,-200,0
0.6,60,-200,-200,-200,-200,-200,-200,0
0.3,77,-200,-200,-200,-200,-200,-200,0
0.3,82,-200,-200,-200,-200,-200,-200,0
0.4,77,-200,-200,-200,-200,-200,-200,0
0.5,91,-200,-200,-200,-200,-200,-200,0
0.6,93,-200,-200,-200,-200,-200,-200,0
0.8,82,-200,-200,-200,-200,-200,-200,0
1,74,-200,-200,-200,-200,-200,-200,0
1.3,68,-200,-200,-200,-200,-200,-200,1
1.1,65,-200,-200,-200,-200,-200,-200,1
0.6,58,-200,-200,-200,-200,-200,-200,0
0.7,36,-200,-200,-200,-200,-200,-200,0
1.2,29,-200,-200,-200,-200,-200,-200,1
1.4,28,-200,-200,-200,-200,-200,-200,1
1.2,68,-200,-200,-200,-200,-200,-200,1
1.3,99,-200,-200,-200,-200,-200,-200,1
1.8,130,-200,-200,-200,-200,-200,-200,1
1.2,128,917,1560,1151,12,67.9,0.9523,1
0.8,120,783,1449,975,12,66.9,0.9336,0
0.8,93,854,1533,1034,11.5,70.1,0.9503,0
0.8,96,832,1507,980,11.4,69.8,0.939,0
0.7,84,687,1390,825,11.1,69.3,0.9128,0
0.5,87,669,1386,807,10.8,70.3,0.9092,0
0.3,87,708,1435,842,10.2,73.4,0.9129,0
0.4,103,812,1500,950,10.8,70.5,0.9142,0
0.3,88,906,1591,1024,11,71,0.9279,0
0.7,118,976,1663,1098,12.4,64,0.9206,0
1.6,134,931,1588,1011,15,53.1,0.8993,1
3.9,144,917,1542,931,16.6,44.4,0.8313,2
4.5,129,877,1481,811,18,38.4,0.7862,2
2.7,108,892,1457,756,20.6,30,0.7213,2
1.6,104,829,1336,607,19.9,26.7,0.6137,1
1.6,90,766,1238,498,19.8,23.1,0.5283,1
1.6,74,852,1318,540,21.4,22.7,0.5722,1
1.5,73,850,1296,544,22.1,21.3,0.5605,1
1.8,60,875,1357,620,21.1,24.5,0.604,1
2.1,57,927,1426,740,18.3,31.6,0.6562,2
1.7,62,1022,1534,921,16.1,35,0.6372,1
3,71,996,1551,1033,14.8,41.5,0.6929,2
4.6,94,909,1487,984,13.2,50.3,0.7577,2
5,99,1037,1618,1193,12.3,55.5,0.7916,2
3.5,119,967,1545,1219,11.8,56.6,0.7833,2
2.1,103,770,1326,913,11.2,56.2,0.7469,2
2.1,95,711,1304,750,11,56.6,0.7418,2
1.5,95,694,1310,772,9.3,64.3,0.7531,1
1.1,114,709,1329,712,8.8,66,0.7501,1
0.9,127,651,1286,712,7.8,70.4,0.7463,0
0.7,135,643,1306,727,7.7,70.7,0.7463,0
0.4,135,644,1301,746,7.4,71,0.7346,0
0.9,120,651,1298,733,8.2,66.6,0.7283,0
1.6,129,694,1343,727,8.7,64.3,0.7267,1
3.9,114,706,1320,642,13,47.9,0.7116,2
5,129,823,1386,810,17.4,35.4,0.699,2
4.3,149,870,1412,851,20.2,29.2,0.683,2
2.7,149,945,1425,911,22.7,22.9,0.6224,2
2.1,158,710,1200,611,22.3,22.4,0.5955,2
2.1,148,606,1076,368,22.2,18.9,0.4993,2
3.9,134,658,1108,369,22,19,0.4969,2
3.8,111,665,1150,394,21,23.6,0.5788,2
3.8,106,672,1183,415,19.6,27.4,0.6162,2
3.9,108,709,1233,469,17.9,30.8,0.6258,2
3.5,93,797,1285,607,16.4,35.3,0.6532,2
4,83,674,1205,498,15.6,37.5,0.6575,2
3,69,680,1217,481,15.5,36.7,0.6438,2
3.1,77,648,1186,465,14.5,39,0.6428,2
5.2,87,661,1187,478,14.2,38.2,0.6163,2
5.9,109,556,1094,366,13.7,38.3,0.5957,2
7.3,116,514,1036,332,14.1,34,0.5442,2
6.1,105,581,1111,346,14.6,34,0.5605,2
4.6,106,560,1066,350,14.4,32.8,0.5364,2
2.5,108,462,955,274,13.9,30.9,0.4868,2
2.2,100,448,1003,263,13.5,37.9,0.5852,2
2,149,472,1117,314,13.9,43.6,0.6871,1
1.9,148,494,1185,367,13.5,50.1,0.7706,1
1.6,126,541,1246,432,13.3,53.6,0.8169,1
1,140,598,1293,536,13.4,56,0.8576,0
1,142,646,1325,555,13,59.6,0.886,0
1.2,141,707,1384,677,12.7,62.7,0.9173,1
2,149,641,1305,557,12.1,60.5,0.8505,1
4.5,140,536,1229,421,11.2,64.4,0.8537,2
4.1,117,563,1257,423,10.7,67.6,0.8703,2
2.6,103,689,1325,519,11.4,61.2,0.8236,2
2.3,99,660,1301,533,9.9,70.5,0.8581,2
2.6,100,682,1313,537,10.3,65.2,0.8151,2
2.4,88,705,1324,612,11,58.9,0.7714,2
4.3,83,776,1369,697,10.6,59.5,0.7595,2
4.6,59,692,1292,573,10.6,57.7,0.7362,2
4,67,635,1233,489,10.6,56.1,0.7149,2
4.7,95,626,1234,474,10.3,58,0.7239,2
5.7,123,610,1230,455,10.4,58.4,0.7352,2
5.2,142,587,1219,433,10.7,58.2,0.7459,2
6.4,142,532,1176,376,10.5,59.9,0.7624,2
6,169,518,1182,360,10.5,60.8,0.7704,2
3.4,142,530,1215,384,10.6,63.1,0.8068,2
2.7,136,489,1171,363,11.1,60.1,0.7925,2
3.1,147,656,1356,525,10.1,68.4,0.8443,2
2.6,196,853,1531,873,10,68.7,0.8456,2
2.2,186,1272,2011,1399,11,64.2,0.8398,2
1.9,177,1354,2057,1501,12,58.1,0.8138,1
0.6,164,1042,1641,1186,12.8,52,0.7643,0
0.8,161,871,1426,911,12.6,50.8,0.7387,0
4,146,900,1471,919,13.8,47.4,0.7435,2
5.6,98,866,1429,791,15.1,42.7,0.7294,2
5,108,885,1439,751,16.3,38.1,0.7006,2
3.2,107,966,1537,805,16.6,36.7,0.6867,2
3.8,113,971,1527,966,15.8,40.5,0.7241,2
3.3,100,887,1462,869,16.3,41.8,0.7712,2
3,87,1158,1791,1196,16.1,42.8,0.7783,2
3.2,60,1337,2004,1523,15.3,46.8,0.8074,2
4.4,65,1343,1995,1579,14.7,47,0.7815,2
4.6,64,1138,1747,1370,14.1,49.6,0.7931,2
5.2,73,952,1577,1204,13.5,54.1,0.8351,2
4.8,86,954,1586,1201,12.3,59.2,0.8461,2
5.6,105,847,1463,1122,11.6,62.2,0.851,2
4.6,107,760,1379,1003,11.5,61.4,0.8303,2
1.8,114,705,1364,918,10.9,64.6,0.8395,1
2.2,105,635,1307,836,11.1,63.2,0.8331,2
2,74,576,1285,759,10.7,64.4,0.8284,1
2.8,95,563,1275,755,10.7,63.8,0.8174,2
2.6,89,670,1346,820,10.2,65.8,0.8196,2
1.8,95,875,1535,998,10.3,65.6,0.8225,1
1.1,93,1246,1921,1403,10.8,64,0.8307,1
0.7,123,1497,2278,1641,13.3,55.6,0.8453,0
0.9,134,1248,1906,1534,15.8,46.8,0.8328,0
1.5,126,1061,1662,1257,19.5,34.4,0.7738,1
2.5,79,935,1518,1026,21.1,30.2,0.745,2
3,54,993,1571,993,18.4,34.2,0.7185,2
2.6,69,966,1519,919,21,30.6,0.7538,2
2.6,67,1076,1653,1032,21.4,28.7,0.7231,2
2.6,73,1082,1653,1077,21.3,27.3,0.6856,2
1.9,73,934,1497,883,20.4,30.4,0.7193,1
2,33,1014,1595,1036,18.7,34.8,0.7436,1
1.7,20,1072,1609,1144,18.6,34.7,0.7369,1
1.9,37,1095,1638,1212,17.9,35.8,0.7276,1
1.8,50,1242,1858,1486,16.5,42.1,0.7856,1
2.8,45,1085,1689,1440,14.8,49.7,0.8321,2
3.5,48,892,1494,1242,13.4,54.3,0.8291,2
3.4,56,805,1418,1089,13.4,54.2,0.8319,2
2,58,746,1364,993,12.3,57.6,0.8223,1
1.1,52,660,1297,862,11.6,58.8,0.7996,1
1.3,52,591,1259,815,10.7,62.3,0.7988,1
1.2,44,559,1241,714,10.2,63.2,0.7865,1
1.3,59,527,1216,682,10.5,61.3,0.7761,1
1,74,625,1298,744,9.3,65.8,0.7722,0
1.3,76,897,1510,1050,9.1,67.4,0.7814,1
0.3,83,1335,2001,1522,10.2,62.9,0.7831,0
0.5,100,1355,2034,1623,11.6,58.7,0.7999,0
0.6,101,1270,1889,1638,13.5,53.4,0.8196,0
0.6,90,1219,1804,1633,15,49.3,0.8364,0
0.8,93,1225,1809,1654,17.1,42.1,0.812,0
1,79,1210,1792,1559,18.4,36.9,0.7758,0
0.9,57,1210,1783,1374,19.3,35.4,0.7824,0
1,43,1282,1890,1418,19.2,35.7,0.7826,0
0.8,25,1143,1734,1228,21.5,30.4,0.7677,0
0.7,17,1116,1676,1293,19.6,34.6,0.7807,0
0.9,44,1413,2046,1642,19.6,35.5,0.8017,0
1.3,72,1507,2271,1895,18.3,44.1,0.9183,1
1.4,91,1637,2446,2086,17.4,47.8,0.9392,1
1.5,89,1409,2119,1898,16.8,49.8,0.9446,1
2.7,84,1290,1960,1758,16.2,53.2,0.9723,2
2.5,83,952,1607,1284,14.9,59.1,0.9928,2
1.4,78,868,1532,1075,13.9,64,1.013,1
2.8,80,863,1547,1084,13.7,66.8,1.041,2
2.1,75,844,1566,1049,13.4,69.6,1.0688,2
1.1,77,810,1532,1021,12.8,71.9,1.0632,1
0.7,77,635,1387,778,12.9,68.5,1.0155,0
0.4,81,686,1420,948,11.9,74.8,1.038,0
0.3,101,782,1505,988,11.6,76.4,1.0415,0
0.4,119,978,1686,1184,11.7,75.3,1.0325,0
0.8,111,1384,2176,1600,12.8,71,1.0428,0
1.9,109,1258,1890,1495,13.8,61.1,0.9595,1
2.1,101,973,1590,1188,15.3,51.4,0.8886,2
1.4,89,983,1604,1166,16.6,48.7,0.9146,1
1.4,75,1014,1666,1219,17.6,46.7,0.9324,1
1.3,51,997,1644,1128,19.2,42.7,0.9425,1
1.5,39,1267,2047,1373,15.7,62.5,1.1092,1
1.6,32,1266,2066,1415,14.5,75.7,1.2425,1
1.3,49,1223,1980,1302,14.4,77.4,1.2654,1
1.4,68,1230,1963,1308,14.6,74.9,1.2391,1
1.5,76,1378,2159,1449,14.6,76,1.2573,1
2.2,122,1309,2083,1385,14,76.3,1.2166,2
3.2,129,1474,2298,1492,13.9,78,1.2303,2
3,94,1295,2039,1380,13.8,78,1.2229,2
2.6,99,1067,1811,1167,13.5,79.4,1.2224,2
1.6,81,963,1680,1095,13.1,80.1,1.2016,1
1.5,87,977,1695,1105,12.8,81,1.1915,1
1.2,107,904,1627,1051,12.7,80.6,1.1819,1
0.8,95,863,1599,1009,12.5,81.8,1.1838,0
0.7,110,829,1565,972,12.7,81.2,1.1849,0
0.5,99,768,1527,884,12.4,82.4,1.1848,0
0.5,113,652,1437,661,12.6,79.9,1.1619,0
0.7,127,724,1508,774,12.8,80,1.1761,0
1.4,131,769,1524,868,12.6,79.9,1.1596,1
4.1,137,902,1672,965,12.5,79.6,1.1538,2
4.6,122,930,1691,985,12.8,80.8,1.1863,2
1.9,100,864,1604,963,13.5,78.1,1.1997,1
1.9,108,949,1706,1069,14.6,74.9,1.2348,1
1.7,83,810,1526,864,16.8,61,1.1599,1
2.4,74,763,1472,641,18.8,50.1,1.0769,2
3,64,879,1536,740,19.3,47.1,1.0445,2
2,40,707,1429,532,19.3,46.6,1.0298,1
2.7,39,764,1462,572,19.7,44.4,1.0081,2
2.2,69,783,1482,630,19.3,45.7,1.0161,2
2.9,104,763,1462,608,17.9,49.9,1.0135,2
3.4,100,788,1482,644,16.9,53.2,1.0179,2
3.9,146,892,1594,833,16.1,56,1.0151,2
3.6,155,908,1566,923,16.5,52.8,0.986,2
2.5,139,777,1482,790,16.9,51.1,0.9743,2
1.8,121,896,1623,961,17,50.8,0.9751,1
2,108,1003,1700,1177,16.9,54.8,1.0455,1
1.3,126,855,1568,943,16.3,57.2,1.0492,1
1,145,827,1529,742,16,56.2,1.0164,0
0.6,121,795,1501,705,15.6,60.2,1.0617,0
0.6,145,783,1527,663,14.6,68.2,1.1282,0
0.5,160,664,1449,536,14.3,69.6,1.1257,0
1.1,155,579,1396,441,13.8,71.9,1.1312,1
5.5,162,609,1410,477,13.8,72.7,1.1402,2
4.2,129,612,1411,506,14.2,72.3,1.1632,2
4.6,96,649,1459,608,14.5,72.9,1.195,2
3.4,92,721,1546,663,14.2,75.6,1.2201,2
2.8,89,849,1664,912,14.5,77.2,1.2695,2
2.5,61,869,1660,963,14.9,74.5,1.253,2
2.4,54,779,1565,803,15.5,67.4,1.178,2
3.2,44,674,1433,564,16.7,56,1.0544,2
3.5,57,677,1436,501,17.1,55.5,1.0724,2
2.9,68,847,1604,701,16.2,62.4,1.1423,2
3.6,95,859,1603,783,17.4,58.9,1.1567,2
4.8,125,885,1590,784,17.5,54.6,1.08,2
5.4,135,919,1623,861,17.5,54.2,1.0722,2
5.3,118,1102,1824,1156,17,55.1,1.0621,2
2.7,91,949,1653,1047,16.4,57.8,1.0669,2
1.4,89,926,1669,1034,15.8,60.4,1.0744,1
1.6,129,841,1595,962,15.5,63.3,1.1071,1
1.5,122,945,1702,1100,15,65.2,1.1045,1
1,138,890,1658,1047,14.5,67.3,1.1054,0
0.6,136,722,1500,874,14.1,70.1,1.1224,0
0.4,143,677,1494,747,13.8,73.3,1.1518,0
0.8,145,562,1407,589,13.1,78.3,1.1716,0
1.5,146,589,1443,635,13,78.2,1.1664,1
4.9,122,597,1428,671,14.3,70.1,1.1328,2
7.2,112,852,1655,992,14,70.9,1.1306,2
3.5,102,1195,1976,1308,15.4,64.2,1.1123,2
2.1,97,1260,1969,1303,16.5,57.9,1.0826,2
1.5,85,921,1594,893,18.8,48,1.0323,1
2,76,846,1503,715,19.5,43.3,0.9706,1
3.8,74,879,1574,685,18.5,45.5,0.9606,2
3.4,56,1010,1709,947,18,46.7,0.9569,2
4.4,66,1097,1847,1049,16.5,58.2,1.0813,2
3.9,90,893,1565,741,12.1,75.6,1.0662,2
4.9,111,933,1602,801,11.1,75.6,0.9974,2
5.4,103,1032,1701,969,10.5,79,1.0016,2
6.5,117,1042,1684,1038,10,80.5,0.9853,2
4.3,116,911,1528,889,11.3,70.5,0.9389,2
2.9,109,895,1508,879,10.7,71.5,0.9197,2
2.7,116,846,1476,846,9.9,74,0.9009,2
2.8,115,745,1391,712,10.8,68.2,0.8806,2
2.3,94,766,1431,747,10.2,74,0.9176,2
1.7,121,780,1444,791,10.1,77.5,0.9579,1
1.2,114,703,1377,637,9.9,77.7,0.9497,1
1,110,648,1357,553,9.5,80.2,0.9533,0
0.8,122,544,1290,449,9.5,79.7,0.9489,0
1.7,135,483,1277,485,9.7,78.9,0.9487,1
3,133,519,1315,540,9.8,80,0.967,2
3.4,110,644,1410,685,10,79.6,0.98,2
3.3,102,883,1625,925,10.3,79.4,0.9927,2
2.7,108,1316,2069,1382,11,77.4,1.0135,2
2.6,110,1549,2396,1645,12.3,69.2,0.9906,2
3.2,84,1299,1999,1514,14.5,60.4,0.9936,2
3.4,71,1214,1874,1509,16,56.3,1.0185,2
2.6,42,1279,1991,1520,18.1,51.1,1.0551,2
3.4,32,1260,1970,1471,23,37.5,1.0389,2
4,35,1173,1870,1282,21.8,39.6,1.0209,2
4.5,67,988,1643,1004,21.9,37.2,0.9683,2
4.2,73,894,1530,714,23.8,31.4,0.9132,2
5.7,86,1107,1742,940,25.9,26.9,0.8845,2
4.4,89,1289,1938,1272,25.8,29.9,0.9808,2
3.1,86,1437,2156,1526,22.6,39.5,1.0679,2
3,86,1400,2102,1488,19.9,45,1.0364,2
3.1,66,1313,1958,1475,17.9,47.4,0.9657,2
3.5,68,1059,1704,1182,16.8,50.4,0.9545,2
2.4,82,889,1550,933,16,52,0.9375,2
1.6,91,940,1589,1001,14.2,59.1,0.952,1
1.3,95,740,1412,756,14.2,56.7,0.9111,1
